nome,latitude,longitude
Kabul,34.5553,69.2075
Tirana,41.3275,19.8189
Algiers,36.7538,3.0588
Andorra la Vella,42.5078,1.5211
Luanda,-8.8383,13.2344
Buenos Aires,-34.6037,-58.3816
Yerevan,40.1792,44.4991
Canberra,-35.2809,149.13
Vienna,48.21,16.3738
Baku,40.4093,49.8671
Nassau,25.0343,-77.3963
Manama,26.2235,50.5876
Dhaka,23.8103,90.4125
Brussels,50.8503,4.3517
Belmopan,17.2514,-88.7669
Porto-Novo,6.4969,2.6289
Thimphu,27.4728,89.639
La Paz,-16.4897,-68.1193
Sarajevo,43.8563,18.4131
Gaborone,-24.6282,25.9231
Brasilia,-15.8267,-47.9218
Sofia,42.6977,23.3219
Ouagadougou,12.3714,-1.5197
Phnom Penh,11.5564,104.9282
Yaounde,3.848,11.5021
Ottawa,45.4215,-75.6972
Santiago,-33.4489,-70.6693
Beijing,39.9042,116.4074
Bogota,4.711,-74.0721
Havana,23.1136,-82.3666
Prague,50.0755,14.4378
Copenhagen,55.6761,12.5683
Cairo,30.0444,31.2357
San Salvador,13.6929,-89.2182
Tallinn,59.437,24.7536
Addis Ababa,9.145,40.4897
Helsinki,60.1699,24.9384
Paris,48.8566,2.3522
Tbilisi,41.7151,44.8271
Berlin,52.52,13.405
Accra,5.6037,-0.187
Athens,37.9838,23.7275
Georgetown,6.8013,-58.1551
Port-au-Prince,18.5944,-72.3074
Budapest,47.4979,19.0402
Reykjavik,64.1355,-21.8954
New Delhi,28.6139,77.209
Jakarta,-6.2088,106.8456
Tehran,35.6892,51.389
Tokyo,35.6895,139.6917